246,1
240,1
662,0
75,0
667,1
1095,-1
900,-1
498,0
542,-1
883,0
1017,1
1103,0
193,-1
835,1
1111,0
652,-1
901,1
83,1
806,0
611,-1
101,-1
528,0
1314,1
1200,0
86,0
712,-1
912,-1
437,1
22,0
731,1
858,-1
267,0
100,1
553,1
1246,1
1254,0
769,1
301,1
9,0
3,-1
415,1
310,1
263,1
1130,-1
1105,1
680,1
1179,-1
600,0
659,1
730,1
986,0
824,1
800,1
536,0
850,0
626,1
843,1
637,1
961,1
91,0
217,1
990,0
374,0
1071,0
740,1
1092,0
1234,0
76,0
517,1
534,1
1089,-1
728,-1
1258,1
919,-1
939,0
986,1
661,-1
241,0
272,1
1216,-1
416,1
885,1
1125,-1
1228,-1
974,-1
401,1
400,1
1137,-1
169,-1
912,1
709,1
204,1
1136,-1
73,-1
925,1
1122,0
912,-1
1055,1
843,1
1188,1
704,1
536,1
1146,-1
693,1
930,0
507,1
673,1
638,1
212,1
555,1
917,1
445,1
538,1
770,1
805,-1
605,0
312,-1
1019,-1
778,-1
835,-1
548,-1
622,1
756,0
507,-1
1148,-1
103,1
907,1
835,1
643,1
1246,-1
420,0
79,1
1163,1
104,0
876,-1
15,-1
1043,1
92,0
1229,-1
829,0
978,1
81,0
1020,-1
71,-1
240,0
1118,0
855,0
488,1
465,1
1088,1
1164,-1
577,0
204,1
1068,-1
198,0
547,0
1094,1
972,1
363,-1
72,-1
1021,1
963,1
1013,-1
935,1
951,-1
968,1
294,-1
12,1
1029,-1
1225,-1
801,1
1273,1
440,1
583,-1
607,-1
1303,-1
1021,-1
953,1
746,1
690,-1
1258,-1
351,-1
1286,-1
536,0
77,-1
1164,-1
536,-1
994,-1
534,-1
1212,-1
982,-1
211,1
65,-1
288,-1
802,-1
496,1
675,1
928,1
1296,-1
986,0
1020,-1
170,-1
1118,-1
222,-1
692,-1
1161,1
632,-1
929,1
143,-1
1272,-1
1095,0
571,1
175,1
41,1
700,1
43,1
1279,0
515,1
979,0
226,0
783,1
1296,0
413,1
542,0
541,0
819,0
1249,0
1164,0
960,1
261,0
660,1
1109,1
1032,0
429,1
930,0
15,1
1155,0
807,1
533,1
426,1
715,0
71,1
593,1
110,-1
76,0
940,-1
240,0
665,-1
874,0
207,-1
569,1
1018,1
1094,1
1181,1
1111,0
288,1
1028,0
1053,1
916,0
240,0
992,1
628,1
314,0
483,1
1312,-1
690,1
349,1
333,1
1027,1
614,-1
929,-1
242,1
1002,1
421,0
1284,-1
1268,1
70,1
428,0
82,1
1195,-1
373,1
1171,1
165,1
862,1
1003,1
179,1
1019,1
386,1
647,-1
690,-1
939,1
1092,0
847,-1
1048,1
591,0
1165,1
142,1
545,-1
608,-1
523,1
1240,0
727,-1
1006,-1
930,0
184,1
400,0
1018,-1
585,0
545,1
343,1
71,1
346,0
241,1
1022,-1
159,1
1306,0
539,1
509,1
311,1
1079,1
642,-1
276,1
831,0
279,-1
1087,1
700,-1
976,0
419,-1
997,0
360,0
42,1
933,1
352,0
20,-1
71,-1
1250,0
264,1
114,0
941,-1
932,-1
999,1
1087,1
373,1
803,-1
427,1
824,-1
1236,0
1268,-1
49,-1
869,1
619,1
1262,1
903,-1
877,1
861,1
96,0
826,0
71,1
504,1
656,1
104,1
9,-1
912,-1
336,-1
690,1
1101,1
75,1
466,1
1057,1
1268,1
915,1
79,1
1164,1
137,-1
730,-1
382,1
393,1
276,1
1047,1
925,1
714,-1
254,0
833,1
611,1
1053,0
408,1
695,1
276,1
1246,1
1029,1
469,1
354,1
753,1
642,0
1087,-1
107,1
839,0
465,-1
1286,1
450,0
483,1
930,-1
772,0
850,1
688,1
538,0
313,0
993,0
1072,-1
988,0
724,1
1271,1
1082,1
520,-1
930,-1
1155,-1
368,0
331,1
356,-1
336,0
1274,-1
383,1
1130,1
449,0
1097,-1
1020,1
291,1
353,-1
806,-1
1106,1
1143,-1
265,-1
33,0
570,-1
216,1
665,0
1051,0
1288,0
1193,0
110,1
1163,-1
991,1
276,-1
1169,1
18,0
395,1
835,1
458,1
647,1
561,1
954,1
527,1
73,0
86,-1
925,1
798,1
833,1
690,1
1238,1
987,-1
420,1
158,-1
514,1
491,0
289,1
917,1
1015,1
538,1
432,-1
922,1
196,-1
658,-1
985,1
491,1
224,-1
1251,1
1008,-1
783,1
230,-1
1,0
598,0
969,-1
12,1
933,0
12,1
1168,1
345,1
850,1
117,0
270,0
760,0
320,-1
860,1
733,0
1168,0
1130,-1
137,1
1102,0
796,-1
799,-1
476,-1
367,-1
536,1
9,1
250,0
436,-1
196,-1
798,1
75,0
1018,1
1203,1
927,0
358,1
242,1
93,1
860,1
681,1
1012,1
728,1
994,-1
286,1
1002,0
1301,1
1008,1
307,1
560,0
1138,1
1288,-1
199,0
1053,1
941,-1
224,1
67,1
43,1
614,0
1096,1
341,-1
347,-1
1071,1
373,1
26,-1
640,-1
807,0
883,1
209,-1
536,-1
756,1
495,-1
633,1
1056,-1
976,-1
533,1
101,0
419,1
164,-1
963,1
35,-1
1016,1
1105,1
1021,1
539,1
18,-1
602,-1
743,1
945,-1
502,-1
652,1
101,1
344,-1
503,1
687,1
958,1
265,-1
34,-1
1238,1
980,1
785,1
928,1
1033,1
938,1
366,-1
