title,artistName,yearAsString,genre,image,vector
Peaky Forms,Mattis-Teutsch Janos,1923,abstract,https://uploads8.wikiart.org/images/janos-mattis-teutsch/peaky-forms-1923.jpg!Large.jpg,"[6.768479776847977, 0.5244072524407253, 18.598326359832637, 12.199442119944212, 19.792189679218968, 24.602510460251047, 17.514644351464433, 6, 51.12992588946318]"
Composition,Mattis-Teutsch Janos,1923,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1923-2.jpg!Large.jpg,"[27.769841269841272, 4.16984126984127, 7.284126984126985, 0.05714285714285715, 15.253968253968253, 30.401587301587302, 15.063492063492061, 5, 48.84093993152817]"
Composition,Mattis-Teutsch Janos,1923,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1923-3.jpg!Large.jpg,"[14.411483253588516, 2.017543859649123, 7.7400318979266345, 29.510366826156297, 3.9569377990430623, 0.7304625199362041, 41.63317384370016, 4, 50.21246520936924]"
Composition,Mattis-Teutsch Janos,1923,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1923-4.jpg!Large.jpg,"[23.96527777777778, 18.634722222222223, 32.62916666666666, 6.544444444444444, 5.908333333333333, 0.21805555555555553, 12.1, 6, 50.62257080610022]"
Composition,Mattis-Teutsch Janos,1923,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1923-5.jpg!Large.jpg,"[13.195402298850576, 0.15517241379310345, 0.5560344827586207, 4.721264367816092, 3.405172413793103, 63.39511494252874, 14.57183908045977, 3, 68.36232251521298]"
Composition,Mattis-Teutsch Janos,1923,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1923-6.jpg!Large.jpg,"[50.43430152143845, 7.297372060857538, 9.511756569847856, 3.4854771784232366, 9.919778699861688, 3.341632088520055, 16.009681881051176, 5, 45.35513790578472]"
Composition,Mattis-Teutsch Janos,1923,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1923-7.jpg!Large.jpg,"[8.933962264150944, 0.7342767295597484, 19.53930817610063, 7.328616352201258, 13.11006289308176, 37.15723270440252, 13.196540880503143, 6, 60.001449007275866]"
Composition,Mattis-Teutsch Janos,1923,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1923-8.jpg!Large.jpg,"[49.977987421383645, 0.8160377358490565, 12.575471698113208, 8.264150943396228, 12.125786163522012, 4.1902515723270435, 12.050314465408805, 5, 47.158490566037734]"
Composition,Mattis-Teutsch Janos,1923,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1923-9.jpg!Large.jpg,"[37.32859399684044, 0.47551342812006314, 20.981042654028435, 10.361769352290679, 15.995260663507107, 0.39652448657187994, 14.46129541864139, 5, 42.078369420438]"
Composition,Mattis-Teutsch Janos,1924,abstract,https://uploads8.wikiart.org/images/janos-mattis-teutsch/composition-1924.jpg!Large.jpg,"[12.820408163265306, 5.27891156462585, 20.85170068027211, 10.945578231292517, 6.974149659863945, 42.53469387755102, 0.5945578231292518, 6, 61.979469120981726]"
Composition,Mattis-Teutsch Janos,1924,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1924-1.jpg!Large.jpg,"[12.820408163265306, 5.27891156462585, 20.85170068027211, 10.945578231292517, 6.974149659863945, 42.53469387755102, 0.5945578231292518, 6, 61.979469120981726]"
Composition,Mattis-Teutsch Janos,1925,abstract,https://uploads2.wikiart.org/images/janos-mattis-teutsch/composition-1925(4).jpg,"[21.464755077658303, 2.130227001194743, 25.287933094384705, 21.801672640382318, 4.734767025089606, 3.616487455197133, 20.96415770609319, 4, 51.65911401597676]"
Composition,Mattis-Teutsch Janos,1925,abstract,https://uploads2.wikiart.org/images/janos-mattis-teutsch/composition-1925(5).jpg!Large.jpg,"[0.7468354430379747, 5.684950773558368, 9.223628691983123, 0.440225035161744, 16.146272855133613, 66.13642756680731, 1.621659634317862, 4, 69.34363641377789]"
Composition,Mattis-Teutsch Janos,1925,abstract,https://uploads2.wikiart.org/images/janos-mattis-teutsch/composition-1925(6).jpg!Large.jpg,"[8.362193362193363, 0.05916305916305916, 2.611832611832612, 13.194805194805195, 3.8686868686868685, 71.77056277056278, 0.13275613275613277, 3, 72.70275867922928]"
Composition,Mattis-Teutsch Janos,1925,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1925-2.jpg!Large.jpg,"[9.91159420289855, 0.028985507246376812, 4.0, 5.171014492753623, 13.63623188405797, 64.08695652173914, 3.165217391304348, 4, 68.94636544472861]"
Composition,Mattis-Teutsch Janos,1925,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1925-1.jpg!Large.jpg,"[5.7366946778711485, 7.868347338935575, 11.761904761904763, 0.26750700280112044, 1.7212885154061626, 51.65686274509804, 20.987394957983195, 5, 68.80595924644368]"
Soulflowers,Mattis-Teutsch Janos,,abstract,https://uploads3.wikiart.org/images/janos-mattis-teutsch/soulflowers.jpg!Large.jpg,"[11.081300813008129, 5.5008130081300814, 20.271544715447153, 6.375609756097561, 8.814634146341463, 30.642276422764226, 17.31382113821138, 7, 57.03711780647218]"
Green Flower of the Soul,Mattis-Teutsch Janos,,abstract,https://uploads7.wikiart.org/images/janos-mattis-teutsch/green-flower-of-the-soul.jpg!Large.jpg,"[1.0, 0.001388888888888889, 0.0763888888888889, 44.71388888888889, 46.34305555555556, 0.0, 7.865277777777778, 3, 29.509754901960783]"
The Rhythm of Life,Mattis-Teutsch Janos,,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/the-rhythm-of-life.jpg,"[22.560664112388253, 0.04853128991060025, 1.3218390804597702, 0.384418901660281, 69.00383141762451, 0.48659003831417624, 6.194125159642401, 3, 27.00404677835374]"
Soulflowers,Mattis-Teutsch Janos,,abstract,https://uploads6.wikiart.org/images/janos-mattis-teutsch/soulflowers(1).jpg,"[10.791505791505791, 1.8738738738738738, 12.290862290862291, 0.018018018018018018, 32.02059202059202, 20.133848133848133, 22.871299871299872, 5, 45.07231937820173]"
Composition,Mattis-Teutsch Janos,,abstract,https://uploads3.wikiart.org/images/janos-mattis-teutsch/composition.jpg!Large.jpg,"[9.297297297297296, 4.558558558558558, 16.87087087087087, 4.848348348348348, 18.656156156156158, 30.438438438438435, 15.33033033033033, 5, 55.034634634634635]"
Red and Yellow Composition,Mattis-Teutsch Janos,,abstract,https://uploads0.wikiart.org/images/janos-mattis-teutsch/red-and-yellow-composition.jpg!Large.jpg,"[4.521806853582555, 1.9797507788161992, 30.76947040498442, 2.3660436137071654, 13.813084112149532, 23.961059190031154, 22.588785046728972, 4, 52.397336754016244]"
Composition,Mattis-Teutsch Janos,,abstract,https://uploads5.wikiart.org/images/janos-mattis-teutsch/composition-1.jpg!Large.jpg,"[9.502777777777778, 1.1347222222222222, 31.951388888888886, 9.223611111111111, 11.127777777777778, 17.256944444444443, 19.802777777777777, 6, 54.18585511982571]"
Before my Birth,Arp Jean,1914,abstract,https://uploads0.wikiart.org/images/jean-arp/before-my-birth-1914.jpg!Large.jpg,"[19.75077881619938, 0.35046728971962615, 5.093457943925234, 0.06853582554517135, 15.694704049844239, 30.638629283489095, 28.40342679127726, 5, 47.97765561053082]"
Geometric Forms,Arp Jean,1914,abstract,https://uploads4.wikiart.org/images/jean-arp/geometric-forms.jpg!Large.jpg,"[0.0, 0.0, 2.0563063063063063, 0.0, 45.15765765765766, 33.28490990990991, 19.501126126126124, 3, 43.10425278219396]"
"Relief, Clock",Arp Jean,1914,abstract,https://uploads1.wikiart.org/images/jean-arp/relief-clock.jpg!Large.jpg,"[16.79610538373425, 0.0859106529209622, 8.460481099656358, 0.026345933562428408, 15.304696449026345, 36.67583046964491, 22.65063001145475, 5, 54.19987422231206]"
Abstract Composition,Arp Jean,1915,abstract,https://uploads0.wikiart.org/images/jean-arp/abstract-composition.jpg!Large.jpg,"[0.0013020833333333335, 2.0104166666666665, 7.1796875, 0.0, 13.0546875, 8.686197916666668, 69.06770833333333, 4, 43.94225388071896]"
Automatic Drawing,Arp Jean,1916,abstract,https://uploads6.wikiart.org/images/jean-arp/automatic-drawing.jpg!Large.jpg,"[0.6622418879056047, 0.15781710914454278, 1.1460176991150441, 0.014749262536873156, 21.792035398230087, 75.38643067846607, 0.8407079646017699, 2, 65.16762103071318]"
Geometric Collage,Arp Jean,1916,abstract,https://uploads6.wikiart.org/images/jean-arp/geometric-collage.jpg!Large.jpg,"[0.0, 0.0, 10.668238993710693, 0.0, 2.1430817610062896, 55.56603773584906, 31.62264150943396, 3, 70.83266124059686]"
Squares or Rectangles arranged according to Laws of Change,Arp Jean,1917,abstract,https://uploads7.wikiart.org/images/jean-arp/squares-or-rectangles-arranged-according-to-laws-of-change-1917.jpg!Large.jpg,"[7.933006535947712, 4.129084967320262, 19.594771241830063, 0.19607843137254902, 32.93954248366013, 12.305555555555555, 22.901960784313726, 5, 40.28292964244521]"
Terrestrial Forest Form,Arp Jean,1917,abstract,https://uploads8.wikiart.org/images/jean-arp/terrestrial-forest-form-1917.jpg!Large.jpg,"[0.0030303030303030303, 0.0030303030303030303, 0.2681818181818182, 0.13484848484848483, 35.528787878787874, 46.61515151515152, 17.446969696969695, 3, 55.01963161021985]"
Collage with Squares Arranged According to the Laws of Chance,Arp Jean,1917,abstract,https://uploads6.wikiart.org/images/jean-arp/untitled.jpg!Large.jpg,"[23.348765432098766, 0.029320987654320986, 63.07407407407407, 0.0462962962962963, 0.4104938271604938, 12.473765432098766, 0.6172839506172839, 3, 61.18810820624546]"
Leafage and Drops,Arp Jean,1920,abstract,https://uploads6.wikiart.org/images/jean-arp/leafage-and-drops.jpg!Large.jpg,"[0.0, 0.0, 95.57222222222222, 0.24861111111111112, 0.30416666666666664, 3.0847222222222226, 0.7902777777777777, 1, 66.91330610021787]"
Moustaches,Arp Jean,1925,abstract,https://uploads4.wikiart.org/images/jean-arp/moustaches-1925.jpg!Large.jpg,"[0.39844961240310073, 0.0015503875968992248, 42.697674418604656, 0.004651162790697674, 1.7798449612403102, 43.51627906976744, 11.6015503875969, 3, 71.3840522875817]"
Tete Paysage,Arp Jean,1926,abstract,https://uploads6.wikiart.org/images/jean-arp/tete-paysage-1926.jpg!Large.jpg,"[8.502222222222223, 0.0, 46.03111111111111, 1.7866666666666666, 2.6088888888888886, 39.26518518518519, 1.8059259259259257, 3, 68.78268119099492]"
Configuration,Arp Jean,1927,abstract,https://uploads2.wikiart.org/images/jean-arp/configuration.jpg!Large.jpg,"[34.9593837535014, 0.0, 18.84313725490196, 0.1834733893557423, 45.34733893557423, 0.0, 0.6666666666666667, 3, 25.21206678749931]"
Constellation According to the Laws of Chance,Arp Jean,1930,abstract,https://uploads3.wikiart.org/images/jean-arp/constellation-according-to-the-laws-of-chance-1930.jpg!Large.jpg,"[0.0, 0.0013440860215053765, 17.149193548387096, 0.024193548387096774, 8.224462365591398, 66.99059139784947, 7.61021505376344, 4, 69.07580118068734]"
Constellation with 5 White Forms & 2 Black,Arp Jean,1932,abstract,https://uploads2.wikiart.org/images/jean-arp/constellation-with-5-white-forms-2-black.jpg,"[0.0, 0.0, 1.8711484593837535, 0.0028011204481792717, 1.1274509803921569, 95.64425770308124, 1.354341736694678, 1, 87.30963365738452]"
According to the Laws of Chance,Arp Jean,1933,abstract,https://uploads1.wikiart.org/images/jean-arp/according-to-the-laws-of-chance-1933(1).jpg!Large.jpg,"[0.0, 0.0, 1.4639804639804639, 0.0, 11.717948717948717, 85.96336996336996, 0.8547008547008548, 2, 72.1369245133951]"
Constellations,Arp Jean,1938,abstract,https://uploads3.wikiart.org/images/jean-arp/constellations.jpg,"[0.06033182503770739, 0.0, 15.485671191553543, 43.40120663650075, 1.8823529411764703, 39.15384615384615, 0.016591251885369532, 3, 63.68824416644486]"
Untitled,Arp Jean,1953,abstract,https://uploads8.wikiart.org/images/jean-arp/untitled-1.jpg!Large.jpg,"[49.86449864498645, 0.07588075880758807, 0.7913279132791329, 0.004065040650406504, 9.822493224932249, 36.72493224932249, 2.7168021680216805, 3, 54.40496306923854]"
Torn-Up Woodcut,Arp Jean,1954,abstract,https://uploads0.wikiart.org/images/jean-arp/torn-up-woodcut-1954.jpg!Large.jpg,"[0.0, 0.0, 3.9898550724637682, 0.014492753623188406, 13.642028985507245, 81.0304347826087, 1.3231884057971015, 2, 69.0648309178744]"
Danger of Death (T05007),Arp Jean,1954,abstract,https://uploads7.wikiart.org/images/jean-arp/danger-of-death-t05007-1954.jpg!Large.jpg,"[0.0, 0.0, 22.60719225449516, 0.0, 0.0, 77.29737206085754, 0.0954356846473029, 2, 75.5491172402571]"
"Abstract Composition, Knossos",Arp Jean,1956,abstract,https://uploads8.wikiart.org/images/jean-arp/abstract-composition-knossos.jpg!Large.jpg,"[29.226244343891405, 0.0, 2.4494720965309202, 0.24585218702865763, 0.4600301659125189, 67.39064856711916, 0.2277526395173454, 2, 79.3675509419454]"
Idole,Arp Jean,1961,abstract,https://uploads3.wikiart.org/images/jean-arp/idole.jpg!Large.jpg,"[0.0, 0.007002801120448179, 0.9593837535014006, 0.018207282913165267, 37.81792717086835, 60.12745098039216, 1.0700280112044818, 2, 63.614780029658924]"
The Sun Recircled,Arp Jean,1966,abstract,https://uploads2.wikiart.org/images/jean-arp/the-sun-recircled-1966.jpg!Large.jpg,"[25.88339222614841, 0.0176678445229682, 4.183745583038869, 0.09069493521790342, 4.686690223792697, 33.79858657243816, 31.33922261484099, 3, 62.13515785583963]"
The Sun Recircled,Arp Jean,1966,abstract,https://uploads4.wikiart.org/images/jean-arp/the-sun-recircled-1966-1.jpg!Large.jpg,"[31.656599552572708, 0.0011185682326621924, 24.01565995525727, 6.502237136465324, 2.0212527964205815, 35.69910514541387, 0.10402684563758388, 4, 69.68838005000659]"
Constellation,Arp Jean,,abstract,https://uploads2.wikiart.org/images/jean-arp/constellation.jpg!Large.jpg,"[0.0, 0.0, 61.43872549019608, 0.0, 20.38357843137255, 0.0, 18.17769607843137, 3, 49.42735966935794]"
Enak's Tears. Terrestrial Forms,Arp Jean,,abstract,https://uploads1.wikiart.org/images/jean-arp/enak-s-tears-terrestrial-forms.jpg!Large.jpg,"[0.11160714285714285, 0.05059523809523809, 0.2232142857142857, 0.010416666666666668, 22.80952380952381, 43.96875, 32.82589285714286, 3, 55.15083450046685]"
Frond and navel,Arp Jean,,abstract,https://uploads4.wikiart.org/images/jean-arp/frond-and-navel.jpg!Large.jpg,"[7.874458874458874, 0.01875901875901876, 0.1471861471861472, 0.0, 42.714285714285715, 28.435786435786436, 20.809523809523807, 4, 33.34181025945732]"
Hasard,Arp Jean,,abstract,https://uploads4.wikiart.org/images/jean-arp/hasard.jpg!Large.jpg,"[0.0, 0.0, 57.33875338753388, 0.09891598915989161, 23.411924119241192, 18.65989159891599, 0.4905149051490515, 3, 73.59959083904565]"
Hitler,Arp Jean,,abstract,https://uploads4.wikiart.org/images/jean-arp/hitler.jpg!Large.jpg,"[0.2914653784219001, 0.0, 38.56038647342995, 0.2995169082125604, 22.156199677938808, 6.053140096618358, 32.63929146537842, 4, 44.07978276656878]"
Overturned Blue Shoe With Two Heels Under a Black Vault,Arp Jean,,abstract,https://uploads8.wikiart.org/images/jean-arp/not_detected_242996.jpg,"[20.003003003003002, 0.0, 2.5435435435435436, 0.8798798798798798, 14.162162162162161, 61.56156156156156, 0.8498498498498498, 3, 59.25006182653241]"
"Not far from the sun, the moon and the stars",Arp Jean,,abstract,https://uploads5.wikiart.org/images/jean-arp/not-far-from-the-sun-the-moon-and-the-stars.jpg,"[46.73542600896861, 0.0, 22.312406576980568, 0.2436472346786248, 23.44544095665172, 0.0, 7.263079222720478, 4, 39.144646677804154]"
Sun,Arp Jean,,abstract,https://uploads1.wikiart.org/images/jean-arp/sun.jpg!Large.jpg,"[0.10496453900709221, 0.0, 35.753191489361704, 0.018439716312056736, 5.629787234042554, 0.0, 58.4936170212766, 3, 48.63759699624531]"
The Elements: Leaf transformed into a torso,Arp Jean,,abstract,https://uploads4.wikiart.org/images/jean-arp/the-elements-leaf-transformed-into-a-torso.jpg,"[0.0, 0.0, 17.150537634408604, 0.0, 0.0, 82.84946236559139, 0.0, 2, 93.69140086141984]"
Horizontal Vertical,Itten Johannes,1915,abstract,https://uploads1.wikiart.org/images/johannes-itten/horizontal-vertical-1915.jpg!Large.jpg,"[2.63914373088685, 0.0015290519877675841, 24.996941896024467, 0.09327217125382263, 38.064220183486235, 0.6865443425076453, 33.518348623853214, 3, 40.34804821010973]"
The Meeting,Itten Johannes,1916,abstract,https://uploads7.wikiart.org/images/johannes-itten/die-begegnung-1916(1).jpg,"[2.385281385281385, 0.5440115440115441, 12.774891774891776, 0.8196248196248196, 41.31024531024531, 0.240981240981241, 41.924963924963926, 3, 32.70409416291769]"
Untitled,Itten Johannes,1918,abstract,https://uploads8.wikiart.org/images/johannes-itten/untitled-1918.jpg,"[2.9005847953216377, 3.4181286549707606, 58.672514619883046, 3.652046783625731, 0.0043859649122807015, 23.103801169590643, 8.248538011695906, 3, 67.649042540993]"
Linienrhythmus,Itten Johannes,1919,abstract,https://uploads5.wikiart.org/images/johannes-itten/linienrhythmus-1919.jpg,"[0.0, 0.0, 11.325259515570934, 0.16147635524798157, 34.86735870818916, 41.43598615916955, 12.209919261822376, 4, 53.16547934052514]"
Komposition,Itten Johannes,1919,abstract,https://uploads2.wikiart.org/images/johannes-itten/komposition-1919.jpg,"[0.0, 0.0, 4.458904109589041, 0.0, 71.63356164383562, 18.026255707762555, 5.8812785388127855, 3, 24.821881994807054]"
Farbformen und Struktuten,Itten Johannes,1953,abstract,https://uploads7.wikiart.org/images/johannes-itten/farbformen-und-struktuten-1953.jpg,"[35.80357142857143, 2.947916666666667, 15.921130952380953, 0.29464285714285715, 25.578869047619047, 3.3199404761904763, 16.133928571428573, 4, 38.94201097105509]"
Plumen,Itten Johannes,1957,abstract,https://uploads6.wikiart.org/images/johannes-itten/plumen-1957.jpg,"[8.485642946317103, 0.2122347066167291, 0.965043695380774, 2.600499375780275, 79.96878901373283, 0.02247191011235955, 7.745318352059925, 3, 14.257080610021786]"
Composition in Orange and Blue-Green,Itten Johannes,1957,abstract,https://uploads0.wikiart.org/images/johannes-itten/composition-in-orange-and-blue-green-1957.jpg,"[24.4954128440367, 1.437308868501529, 17.148318042813457, 4.9006116207951065, 10.931192660550458, 8.423547400611621, 32.66360856269113, 5, 45.529795526773405]"
African,Itten Johannes,1958,abstract,https://uploads7.wikiart.org/images/johannes-itten/african-1958.jpg,"[17.227564102564102, 0.1858974358974359, 8.434294871794872, 1.969551282051282, 40.458333333333336, 0.035256410256410256, 31.689102564102562, 4, 33.88949220713926]"
Moonlit Landscape,Itten Johannes,1958,abstract,https://uploads8.wikiart.org/images/johannes-itten/moonlit-landscape-1958.jpg,"[28.13960113960114, 0.7962962962962963, 0.017094017094017096, 3.8675213675213675, 51.806267806267805, 0.0, 15.373219373219374, 3, 26.644712585889057]"
Flames,Itten Johannes,1961,abstract,https://uploads6.wikiart.org/images/johannes-itten/flames-1961.jpg,"[5.545299145299145, 0.04957264957264957, 24.263247863247862, 0.6376068376068377, 19.516239316239318, 46.58461538461538, 3.4034188034188033, 4, 61.11638679403386]"
Kreise und Quadrate,Itten Johannes,1963,abstract,https://uploads1.wikiart.org/images/johannes-itten/kreise-und-quadrate-1963.jpg,"[4.438333333333333, 0.0016666666666666668, 0.9183333333333333, 0.13333333333333333, 47.781666666666666, 10.651666666666666, 36.075, 3, 34.83503267973857]"
Die Fremden Kreise,Itten Johannes,1963,abstract,https://uploads0.wikiart.org/images/johannes-itten/die-fremden-kreise-1963.jpg,"[2.893280632411067, 4.308300395256917, 27.04874835309618, 18.624505928853754, 24.586297760210805, 0.2951251646903821, 22.243741765480895, 4, 43.16091348265261]"
Happy Island,Itten Johannes,1965,abstract,https://uploads3.wikiart.org/images/johannes-itten/happy-island-1965.jpg,"[10.468060394889662, 2.4367015098722415, 3.0615563298490125, 79.28919860627178, 0.0011614401858304297, 0.019744483159117306, 4.723577235772358, 2, 44.3468743594999]"
Plakat für Ausstellung Baden-Baden,Itten Johannes,1965,abstract,https://uploads7.wikiart.org/images/johannes-itten/plakat-f-r-ausstellung-baden-baden-1965.jpg,"[55.3710407239819, 0.0, 0.13725490196078433, 0.0015082956259426848, 13.843137254901961, 17.09502262443439, 13.552036199095022, 4, 40.48381391772396]"
Education,Itten Johannes,1966,abstract,https://uploads0.wikiart.org/images/johannes-itten/education-1966.jpg!Large.jpg,"[11.022522522522522, 2.7286036036036037, 2.529279279279279, 0.0033783783783783786, 72.11486486486487, 0.36036036036036034, 11.24099099099099, 3, 22.912939409998234]"
Untitled,Itten Johannes,1966,abstract,https://uploads8.wikiart.org/images/johannes-itten/untitled-1966.jpg,"[0.0, 0.0, 0.9693165969316597, 1.1436541143654115, 53.92050209205021, 12.934449093444908, 31.032078103207812, 3, 31.08661361336724]"
Grn-Blau-Rot,Itten Johannes,1967,abstract,https://uploads3.wikiart.org/images/johannes-itten/grn-blau-rot-1967.jpg,"[18.41891891891892, 0.0, 0.0, 0.006756756756756757, 55.41891891891891, 0.0, 26.155405405405407, 3, 18.871754107048226]"
"Space Composition, II",Itten Johannes,,abstract,https://uploads5.wikiart.org/images/johannes-itten/untitled-1.jpg,"[13.395007342143906, 0.29809104258443464, 5.477239353891336, 1.9838472834067546, 63.330396475770925, 0.007342143906020558, 15.508076358296622, 4, 22.75622930523164]"
Space Composition I,Itten Johannes,,abstract,https://uploads3.wikiart.org/images/johannes-itten/untitled.jpg,"[18.89327485380117, 0.0, 7.478070175438596, 1.891812865497076, 51.98099415204679, 0.0, 19.755847953216374, 4, 27.901611053778236]"
Die Kontraste,Itten Johannes,,abstract,https://uploads8.wikiart.org/images/johannes-itten/die-kontraste.jpg,"[1.3192488262910798, 1.2503912363067293, 13.04851330203443, 0.029733959311424103, 0.26604068857589985, 78.54929577464789, 5.536776212832551, 3, 79.34757740341834]"
Plumen,Itten Johannes,,abstract,https://uploads1.wikiart.org/images/johannes-itten/plumen.jpg!Large.jpg,"[8.488139825218477, 0.21722846441947566, 1.0012484394506866, 2.596754057428215, 79.90012484394506, 0.033707865168539325, 7.762796504369537, 3, 14.315806222613892]"
Five o'clock tea,Evola Julius,1917,abstract,https://uploads5.wikiart.org/images/julius-evola/five-o-clock-tea-1917.jpg,"[0.6822541966426858, 0.9964028776978417, 56.00959232613909, 0.013189448441247, 7.094724220623501, 26.539568345323737, 8.664268585131895, 4, 64.32353881600602]"
"Fucina, studio di rumori",Evola Julius,1918,abstract,https://uploads3.wikiart.org/images/julius-evola/fucina-studio-di-rumori-1918.jpg,"[7.458628841607565, 0.37115839243498816, 8.433806146572104, 0.0035460992907801418, 34.646572104018915, 11.508274231678486, 37.57801418439716, 5, 40.530709683400545]"
The tendency of aesthetic idealism,Evola Julius,1918,abstract,https://uploads5.wikiart.org/images/julius-evola/the-tendency-of-aesthetic-idealism-1918.jpg,"[0.0, 0.008547008547008548, 83.53418803418803, 0.0, 2.055555555555556, 5.531339031339031, 8.87037037037037, 3, 63.92735601363052]"
Untitled,Evola Julius,1919,abstract,https://uploads6.wikiart.org/images/julius-evola/untitled-1919.jpg,"[11.557471264367816, 1.206896551724138, 19.17528735632184, 6.19396551724138, 12.057471264367816, 21.35632183908046, 28.45258620689655, 6, 52.0776707234618]"
Xilografia,Evola Julius,1919,abstract,https://uploads8.wikiart.org/images/julius-evola/xilografia-1919.jpg!Large.jpg,"[0.0, 0.0, 34.75728155339806, 0.0016181229773462782, 35.80906148867314, 27.365695792880256, 2.0663430420711975, 3, 53.99319753791484]"
Small table (upper surface),Evola Julius,1920,abstract,https://uploads5.wikiart.org/images/julius-evola/small-table-upper-surface-1920.jpg,"[0.5094760312151616, 0.0011148272017837235, 33.40468227424749, 0.9765886287625418, 19.806020066889634, 17.41583054626533, 27.88628762541806, 4, 52.49197980195422]"
Astrazione,Evola Julius,1921,abstract,https://uploads8.wikiart.org/images/julius-evola/astrazione-1921.jpg!Large.jpg,"[0.0, 0.02962962962962963, 41.214814814814815, 0.29185185185185186, 18.882962962962964, 17.945185185185185, 21.635555555555555, 4, 57.371863471314455]"
Composizione (Paesaggio) Dada n. 3 (o n. 2),Evola Julius,1921,abstract,https://uploads8.wikiart.org/images/julius-evola/composizione-paesaggio-dada-n-3-o-n-2-1921.jpg!Large.jpg,"[0.0, 0.008333333333333333, 41.74444444444445, 0.026388888888888885, 0.05972222222222222, 14.8625, 43.298611111111114, 3, 57.1005174291939]"
La libra s'infiamma e le piramidi,Evola Julius,1921,abstract,https://uploads4.wikiart.org/images/julius-evola/la-libra-s-infiamma-e-le-piramidi-1921.jpg,"[0.039440203562340966, 0.03689567430025445, 32.213740458015266, 0.3244274809160305, 14.127226463104325, 10.414758269720101, 42.843511450381676, 4, 49.50503916579355]"
"Paesaggio interiore, apertura del diaframma",Evola Julius,1921,abstract,https://uploads4.wikiart.org/images/julius-evola/paesaggio-interiore-apertura-del-diaframma-1921.jpg,"[7.031811894882434, 0.9958506224066389, 14.994467496542185, 0.09681881051175657, 21.457814661134165, 31.283540802213, 24.13969571230982, 5, 54.49052151981124]"
Composizione Dada,Evola Julius,,abstract,https://uploads1.wikiart.org/images/julius-evola/composizione-dada.jpg,"[25.48578811369509, 0.9638242894056848, 5.963824289405685, 0.0, 14.480620155038759, 0.12661498708010335, 52.979328165374675, 4, 37.16534427724578]"
Composizione futurista,Evola Julius,,abstract,https://uploads6.wikiart.org/images/julius-evola/composizione-futurista.jpg,"[11.646174863387978, 2.185792349726776, 29.023224043715846, 2.457650273224044, 33.64344262295082, 3.616120218579235, 17.4275956284153, 4, 40.31739526411658]"
Untitled,Evola Julius,,abstract,https://uploads1.wikiart.org/images/julius-evola/untitled.jpg,"[0.0017006802721088435, 0.0, 17.726190476190474, 0.21598639455782312, 12.316326530612246, 56.947278911564624, 12.79251700680272, 4, 66.9233360010671]"
Untitled,Evola Julius,,abstract,https://uploads3.wikiart.org/images/julius-evola/untitled-1.jpg,"[26.357142857142858, 0.0816326530612245, 29.275510204081634, 3.0085034013605445, 19.947278911564624, 16.99829931972789, 4.331632653061225, 4, 51.09609177004134]"
Musical Theme (Oriental Symphony),Hartley Marsden,1913,abstract,https://uploads5.wikiart.org/images/marsden-hartley/musical-theme-oriental-symphony-1913.jpg,"[6.037634408602151, 2.221774193548387, 30.96236559139785, 1.8951612903225805, 8.416666666666666, 34.623655913978496, 15.84274193548387, 5, 63.52405650432217]"
Painting No. 48,Hartley Marsden,1913,abstract,https://uploads6.wikiart.org/images/marsden-hartley/painting-no-48-1913.jpg!Large.jpg,"[3.2785234899328857, 0.6118568232662192, 30.078299776286354, 0.7796420581655481, 21.60626398210291, 11.401565995525727, 32.24384787472036, 4, 47.757498793700925]"
Abstraction,Hartley Marsden,1914,abstract,https://uploads3.wikiart.org/images/marsden-hartley/abstraction-1914.jpg!Large.jpg,"[4.566013071895425, 0.0954248366013072, 26.89281045751634, 0.009150326797385621, 20.192156862745097, 19.794771241830063, 28.449673202614377, 4, 46.326535947712415]"
E,Hartley Marsden,1915,abstract,https://uploads2.wikiart.org/images/marsden-hartley/e-1915.jpg,"[3.754738015607581, 0.3032329988851728, 12.992196209587515, 2.120401337792642, 36.79598662207358, 16.588628762541806, 27.444816053511705, 4, 36.15211926465123]"
Painting No. 50,Hartley Marsden,1915,abstract,https://uploads6.wikiart.org/images/marsden-hartley/painting-no-50-1915.jpg,"[3.896473265073948, 0.001137656427758817, 16.648464163822528, 11.681456200227531, 26.89419795221843, 17.844141069397043, 23.034129692832764, 5, 45.2211514867608]"
